ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_56020,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56021,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56021,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56021,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56021,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56021,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56022,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56022,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56022,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56022,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56022,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56023,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56023,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56023,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56023,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56023,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56024,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56024,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56024,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56024,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56024,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
1931_56025,Q19543,Hans Sachs,Hans Sachs,identisch,1494-11-05,1576-01-19,nein,Mensch
1931_56025,Q415339,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_56025,Q96625,Hans Sachs,Hans Sachs,identisch,1877-06-06,1945-03-25,plausibel,Mensch
1931_56025,Q1306382,Hans Sachs,Hans Sachs,identisch,-,-,unbekannt,Mensch
1931_56025,Q118124,Hans Sachs,Hans Sachs,identisch,1881-08-11,1974-03-21,plausibel,Mensch
