id,lat,lon
1931_473,52.5287735,13.4205654
1931_474,52.5237069,13.4022376
1931_475,52.4950605,13.3122056
1931_476,52.5403941,13.4125409
1931_477,52.5097811,13.4075973
1931_478,52.4989274,13.3496337
1931_479,52.5327323,13.2074366
1931_480,52.3984802,13.5879752
1931_481,52.4916997,13.3438439
1931_482,52.4936435,13.3471644
1931_483,52.5162958,13.4536125
1931_484,52.5118177,13.2996416
1931_485,52.5152083,13.4459153
1931_486,52.5355067,13.4120298
1931_487,52.4913748,13.3436785
1931_488,52.5026862,13.5006904
1931_489,52.5079173,13.4672439
1931_490,52.5100031,13.4222352
1931_491,52.4743051,13.3190540516461
1931_492,,
1931_493,52.5002261,13.2967351
1931_494,52.51934555,13.3040662256672
1931_495,52.504364,13.3928711
1931_496,52.5122677,13.4017637
1931_497,52.5221257,13.1983536
1931_498,52.488696,13.3428396
1931_499,52.49672585,13.6213402
1931_500,52.5253045,13.3970969
1931_501,52.5156112,13.3047481
1931_502,52.4885449,13.5605352
1931_503,52.5323371,13.6495161
1931_504,52.514888,13.3097764
1931_505,,
1931_506,52.5005698,13.3368827
1931_507,52.5093499,13.3060873
1931_508,52.48623435,13.5979604
1931_509,52.4819179,13.2871456
1931_510,52.5722595,13.41488
1931_511,52.4174576,13.1712158456994
1931_512,52.5202334,13.3454745
1931_513,52.538328,13.2072193
1931_514,52.5021037,13.3360694
1931_515,,
1931_516,52.5216663,13.4101945
1931_517,52.504493,13.3139884
1931_518,52.5295705,13.3809466
1931_519,52.4929621,13.4219254
1931_520,52.5002847,13.3391702
1931_521,52.5317885,13.431898
1931_522,52.4931781,13.336867
1931_523,52.4467102,13.3696273
1931_524,52.4927707,13.3483517
1931_525,52.5237069,13.4022376
1931_526,52.5246813,13.4033563
1931_527,,
1931_528,52.4506184,13.3267652
1931_529,52.5020191,13.2990158
1931_530,52.5515793,13.1980875
1931_531,52.5316877,13.4228792
1931_532,52.5123228,13.3192458
1931_533,52.5121566,13.4192402
1931_534,52.4951194,13.334592
1931_535,52.545159,13.370393
1931_536,52.4918365,13.3269494
1931_537,52.5281876,13.4052078
1931_538,52.5900822,13.3650803
1931_539,52.5537372,13.4143485
1931_540,52.5295794,13.4367096
1931_541,52.5202334,13.3454745
1931_542,52.4906951,13.3970763
1931_543,52.494846,13.3364125
1931_544,52.5065395,13.41074075
1931_545,52.4817674,13.3260648
1931_546,52.5254731,13.4122093
1931_547,,
1931_548,52.4638923,13.3016666
1931_549,52.5145206,13.4891302
1931_550,52.4970901,13.3045069
1931_551,52.4702823,13.3248447
1931_552,52.4755927,13.3249771
1931_553,52.4951194,13.334592
1931_554,52.5464635,13.3730957
1931_555,,
1931_556,52.4982641,13.3258672
1931_557,52.5043656,13.3444661
1931_558,52.4888744,13.3414159
1931_559,52.62666965,13.3239243198489
1931_560,52.5135445,13.4819359
1931_561,52.539705,13.4196883
1931_562,52.5273606,13.4125887
1931_563,52.5327323,13.2074366
1931_564,52.5395131,13.3881257
1931_565,,
1931_566,52.4927787,13.4265304147085
1931_567,52.5004049,13.3927958
1931_568,52.5900822,13.3650803
1931_569,52.5009771,13.3866478
1931_570,52.5209629,13.5179098
1931_571,52.4985699,13.2982643
1931_572,52.5014517,13.3093381
1931_573,52.5232668,13.3577551373369
1931_574,52.5004817,13.3119076
1931_575,52.4867137,13.3372122
1931_576,52.5227909,13.4152167
1931_577,52.522771,13.237874
1931_578,52.5224129,13.34902315
1931_579,52.50926205,13.4544795184787
1931_580,52.4902514,13.3477356
1931_581,52.4983887,13.4252113768087
1931_582,52.4390122,13.6836942
1931_583,52.50851,13.294194
1931_584,52.4888586,13.3370612
1931_585,52.4497335,13.3076855
1931_586,52.4973769,13.3374838
1931_587,52.4979853,13.3359182
1931_588,52.52174,13.3362778
1931_589,52.4884283,13.3344543
1931_590,52.5240638,13.3280202
1931_591,,
1931_592,52.5192642,13.2538425
1931_593,52.4981474,13.3194094
1931_594,52.43421705,13.342586043966
1931_595,52.53630525,13.3939784600026
1931_596,52.4996767,13.3191436
1931_597,52.5319523,13.3991484
1931_598,,
1931_599,52.5368427,13.416737
1931_600,52.37924425,13.39537545
1931_601,52.4922377,13.319459
1931_602,52.5040386,13.3569997
1931_603,52.5545626,13.3766765
1931_604,52.4984535,13.35959
1931_605,,
1931_606,52.5491339,13.4289471
1931_607,52.5019625,13.3335417
1931_608,52.4270366,13.2653078
1931_609,52.5037419,13.3104180113264
1931_610,52.4876472,13.5172012
1931_611,52.4998477,13.3215236
1931_612,52.6106205,13.1961918
1931_613,52.5043712,13.3374894
1931_614,52.4948117,13.3253289
1931_615,52.525353,13.3875611
1931_616,52.5266293,13.4138115
1931_617,52.5162979,13.3398039
1931_618,52.4877474,13.2979278
1931_619,52.5536012,13.3769269
1931_620,52.5325614,13.4236967
1931_621,52.499305,13.3115158
1931_622,,
1931_623,52.4933271,13.3522608
1931_624,52.5052523384615,13.2978366461538
1931_625,52.493521,13.347499
1931_626,52.50830455,13.2944594407565
1931_627,52.5020451,13.3078321
1931_628,52.525353,13.3875611
1931_629,52.5461894,13.4257644126919
1931_630,52.5091135,13.3016431
1931_631,52.5537372,13.4143485
1931_632,52.479393,13.3417095
1931_633,52.514293,13.3653542
1931_634,52.5403941,13.4125409
1931_635,52.490976,13.3382807
1931_636,,
1931_637,52.5209158,13.3543596
1931_638,52.5162979,13.3398039
1931_639,,
1931_640,52.4888744,13.3414159
1931_641,52.5184892,13.3329427
1931_642,52.5344328,13.4209675
1931_643,,
1931_644,52.5266293,13.4138115
1931_645,52.512188,13.4229126
1931_646,52.44064855,13.3295146271735
1931_647,52.5251891,13.4161874
1931_648,52.5005747,13.3348033
1931_649,52.5393887,13.4956337091545
1931_650,,
1931_651,52.5020451,13.3078321
1931_652,,
1931_653,52.4963056,13.3102212
1931_654,52.5305561,13.4141317
1931_655,52.5080941,13.4108712
1931_656,52.4657075,13.3262384
1931_657,52.5401652,13.4191489
1931_658,52.5529211,13.3480043
1931_659,52.5183367,13.3329525
1931_660,52.5067789,13.3141538
1931_661,52.4270366,13.2653078
1931_662,52.5267749,13.4032274
1931_663,52.4983789,13.3463033
1931_664,52.5237069,13.4022376
1931_665,,
1931_666,52.4857607,13.3518363
1931_667,52.62582135,13.312498088515
1931_668,52.48795365,13.5921603966466
1931_669,52.4582182,13.331407
1931_670,52.5468207,13.45377
1931_671,52.5092641,13.4200235
1931_672,52.5251553,13.4438947
1931_673,52.5251891,13.4161874
1931_674,52.5031393,13.3600113432352
1931_675,52.4970568,13.3360648
1931_676,52.5229907,13.383828
1931_677,52.490976,13.3382807
1931_678,52.5237287,13.4012953
1931_679,,
1931_680,52.5324808,13.4310339
1931_681,52.5067118,13.2544153
1931_682,,
1931_683,52.5120576,13.4708844
1931_684,52.5025118,13.4227136485501
1931_685,52.4835675,13.3334862
1931_686,52.5106106,13.3056988
1931_687,52.5229907,13.383828
1931_688,52.4969862,13.297908
1931_689,52.5065506,13.3038687401039
1931_690,52.4963265,13.3114951
1931_691,52.5042159,13.3133956
1931_692,52.546093,13.3713131
1931_693,52.5017904,13.2994078
1931_694,52.48798325,13.3496830911268
1931_695,52.5233539,13.2006566
1931_696,52.5042004,13.3162583
1931_697,52.5435659,13.4423243
1931_698,52.4898601,13.2957869
1931_699,52.5067118,13.2544153
1931_700,52.5251699,13.3424726
1931_701,52.5334628,13.3988995
1931_702,52.5421186,13.4229329
1931_703,52.4593531,13.3710037
1931_704,52.5325239,13.4300823
1931_705,52.5315018,13.4199281
1931_706,52.5039685,13.3153476
1931_707,52.5411679,13.3938695
1931_708,52.4861501,13.3453594
1931_709,52.4718933,13.3405534
1931_710,52.4984742,13.2902508
1931_711,,
1931_712,52.5528038049611,13.3785547136198
1931_713,,
1931_714,52.4998477,13.3215236
1931_715,52.5353719,13.4193272
1931_716,52.5424126,13.2025876
1931_717,52.5329862,13.4295586
1931_718,52.506102,13.3440037
1931_719,52.4944636,13.3394369
1931_720,52.5493129,13.3563442
1931_721,52.5368427,13.416737
1931_722,52.4593531,13.3710037
1931_723,52.488696,13.3428396
1931_724,52.4649962,13.3145312
1931_725,52.502183,13.3040352
1931_726,52.5028395,13.3456221491318
1931_727,52.4987679,13.3131964
1931_728,52.3873436,13.4249399
1931_729,52.5297122,13.35182
1931_730,52.5032712,13.3134354
1931_731,52.5037305,13.316943
1931_732,52.484515,13.3403356
1931_733,52.48833855,13.3333537906904
1931_734,52.41346,13.0886534
1931_735,52.48127845,13.3423040584788
1931_736,52.5270689,13.4249098
1931_737,52.5826569,13.2918416
1931_738,52.4215554,13.1633605
1931_739,52.4930177,13.3368461
1931_740,52.5363038,13.4282361
1931_741,52.5515793,13.1980875
1931_742,52.5485504,13.5811899
1931_743,52.5229264,13.3296492
1931_744,52.5311859,13.3411751
1931_745,52.4957395,13.3066047
1931_746,52.4346186,13.3509385
1931_747,52.4870593,13.3448126
1931_748,,
1931_749,52.41346,13.0886534
1931_750,52.503433,13.3131369
1931_751,52.5230432,13.4008185
1931_752,52.4983558,13.3172303
1931_753,52.50666955,13.3180010097628
1931_754,52.4980122,13.3102623
1931_755,52.5209055,13.3336607
1931_756,52.5087622,13.3201174
1931_757,52.5004817,13.3119076
1931_758,52.5300373,13.334059
1931_759,52.5335884,13.4076706
1931_760,52.3882765,13.4221754
1931_761,52.5537372,13.4143485
1931_762,52.4800017,13.3271793
1931_763,52.5275616,13.4082649
1931_764,,
1931_765,52.5009667,13.3095127
1931_766,,
1931_767,52.4947336,13.3093259760203
1931_768,52.4520681,13.523107
1931_769,52.4892902,13.3376599
1931_770,52.4983003,13.3175136
1931_771,52.51723,13.3435367
1931_772,52.4950484,13.3462421
1931_773,52.4892902,13.3376599
1931_774,52.49870925,13.3094035426841
1931_775,52.5251207,13.4063431
1931_776,52.4903039,13.3181503
